"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-10 16:30:31","45848.6878587963","","","","","","","",""
"2025-07-10 16:30:36","45848.6879166667","30.0","48.7","47.6","47.7","","","",""
"2025-07-10 16:30:41","45848.6879745370","30.0","48.7","47.6","47.7","","","",""
"2025-07-10 16:30:46","45848.6880324074","30.0","48.7","47.6","47.7","","","",""
"2025-07-10 16:30:51","45848.6880902778","30.0","48.7","47.6","47.7","","","",""
"2025-07-10 16:30:56","45848.6881481481","30.0","48.8","47.6","47.7","","","",""
"2025-07-10 16:31:01","45848.6882060185","30.0","48.8","47.6","47.7","","","",""
"2025-07-10 16:31:06","45848.6882638889","30.0","48.8","47.6","47.7","","","",""
"2025-07-10 16:31:09","45848.6882986111","","","","","","","",""
"2025-07-10 16:31:11","45848.6883217593","30.1","48.8","47.6","47.7","","","",""
"2025-07-10 16:31:14","45848.6883564815","","","","","652.022","-131.64","1.10423","2.50941"
"2025-07-10 16:31:16","45848.6883796296","30.0","48.8","47.6","47.7","","","",""
"2025-07-10 16:31:19","45848.6884143519","","","","","652.744","-130.74","1.10452","2.50953"
"2025-07-10 16:31:21","45848.6884375000","30.1","48.8","47.6","47.7","","","",""
"2025-07-10 16:31:24","45848.6884722222","","","","","651.541","-130.56","1.10460","2.50961"
"2025-07-10 16:31:26","45848.6884953704","30.1","48.7","47.5","47.7","","","",""
"2025-07-10 16:31:29","45848.6885300926","","","","","652.263","-128.50","1.10482","2.50965"
"2025-07-10 16:31:31","45848.6885532407","30.0","48.7","47.5","47.6","","","",""
"2025-07-10 16:31:34","45848.6885879630","","","","","652.263","-128.76","1.10466","2.50947"
"2025-07-10 16:31:36","45848.6886111111","30.1","48.7","47.5","47.6","","","",""
"2025-07-10 16:31:39","45848.6886458333","","","","","651.301","-127.15","1.10468","2.50959"
"2025-07-10 16:31:41","45848.6886689815","30.1","48.6","47.5","47.6","","","",""
