"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-12 16:30:00","45850.6875000000","31.4","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:03","45850.6875347222","","","","","631.098","-125.17","1.07470","2.51148"
"2025-07-12 16:30:05","45850.6875578704","31.4","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:08","45850.6875925926","","","","","615.705","-125.80","1.07478","2.51146"
"2025-07-12 16:30:10","45850.6876157407","31.4","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:13","45850.6876504630","","","","","655.389","-126.07","1.07463","2.51145"
"2025-07-12 16:30:15","45850.6876736111","31.4","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:18","45850.6877083333","","","","","659.237","-126.97","1.07497","2.51170"
"2025-07-12 16:30:20","45850.6877314815","31.4","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:23","45850.6877662037","","","","","660.440","-127.06","1.07539","2.51143"
"2025-07-12 16:30:25","45850.6877893519","31.3","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:28","45850.6878240741","","","","","662.364","-126.88","1.07533","2.51149"
"2025-07-12 16:30:30","45850.6878472222","31.3","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:33","45850.6878819444","","","","","662.605","-126.97","1.07561","2.51146"
"2025-07-12 16:30:35","45850.6879050926","31.3","47.8","49.1","49.8","","","",""
"2025-07-12 16:30:38","45850.6879398148","","","","","663.326","-127.69","1.07592","2.51176"
"2025-07-12 16:30:40","45850.6879629630","31.3","47.9","49.2","49.8","","","",""
"2025-07-12 16:30:43","45850.6879976852","","","","","663.086","-126.34","1.07606","2.51150"
"2025-07-12 16:30:45","45850.6880208333","31.3","47.9","49.2","49.9","","","",""
"2025-07-12 16:30:48","45850.6880555556","","","","","663.086","-126.52","1.07610","2.51146"
"2025-07-12 16:30:50","45850.6880787037","31.3","47.9","49.2","49.9","","","",""
