"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-13 16:19:53","45851.6804745370","","","","","","","",""
"2025-07-13 16:19:58","45851.6805324074","30.4","47.3","48.4","48.7","","","",""
"2025-07-13 16:20:03","45851.6805902778","30.5","47.3","48.5","48.8","","","",""
"2025-07-13 16:20:08","45851.6806481481","30.5","47.3","48.4","48.7","","","",""
"2025-07-13 16:20:13","45851.6807060185","30.4","47.3","48.4","48.8","","","",""
"2025-07-13 16:20:18","45851.6807638889","30.4","47.3","48.5","48.8","","","",""
"2025-07-13 16:20:23","45851.6808217593","30.5","47.4","48.5","48.8","","","",""
"2025-07-13 16:20:28","45851.6808796296","30.5","47.4","48.5","48.9","","","",""
"2025-07-13 16:20:33","45851.6809375000","30.5","47.4","48.5","48.8","","","",""
"2025-07-13 16:20:38","45851.6809953704","30.4","47.4","48.5","48.8","","","",""
"2025-07-13 16:20:43","45851.6810532407","30.4","47.4","48.5","48.9","","","",""
"2025-07-13 16:20:48","45851.6811111111","30.4","47.5","48.6","48.9","","","",""
"2025-07-13 16:20:53","45851.6811689815","30.5","47.5","48.6","49.0","","","",""
"2025-07-13 16:20:58","45851.6812268519","30.5","47.6","48.7","49.1","","","",""
"2025-07-13 16:21:03","45851.6812847222","30.5","47.6","48.7","49.1","","","",""
"2025-07-13 16:21:08","45851.6813425926","30.5","47.7","48.7","49.2","","","",""
"2025-07-13 16:21:13","45851.6814004630","30.5","47.7","48.8","49.2","","","",""
"2025-07-13 16:21:18","45851.6814583333","30.5","47.7","48.8","49.2","","","",""
"2025-07-13 16:21:23","45851.6815162037","30.4","47.6","48.7","49.1","","","",""
"2025-07-13 16:21:28","45851.6815740741","30.4","47.7","48.7","49.2","","","",""
"2025-07-13 16:21:33","45851.6816319444","30.4","47.7","48.7","49.2","","","",""
"2025-07-13 16:21:38","45851.6816898148","30.4","47.7","48.7","49.1","","","",""
