"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-14 16:29:47","45852.6873495370","","","","","","","",""
"2025-07-14 16:29:52","45852.6874074074","34.1","61.3","61.7","61.7","","","",""
"2025-07-14 16:29:57","45852.6874652778","34.0","61.3","61.7","61.7","","","",""
"2025-07-14 16:30:02","45852.6875231481","34.1","61.3","61.7","61.7","","","",""
"2025-07-14 16:30:07","45852.6875810185","34.2","61.3","61.7","61.7","","","",""
"2025-07-14 16:30:12","45852.6876388889","34.0","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:13","45852.6876504630","","","","","","","",""
"2025-07-14 16:30:17","45852.6876967593","34.0","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:18","45852.6877083333","","","","","630.136","-136.40","0.98016","2.51288"
"2025-07-14 16:30:22","45852.6877546296","34.0","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:23","45852.6877662037","","","","","630.136","-137.39","0.98050","2.51281"
"2025-07-14 16:30:27","45852.6878125000","34.0","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:28","45852.6878240741","","","","","629.655","-136.49","0.98081","2.51257"
"2025-07-14 16:30:32","45852.6878703704","33.9","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:33","45852.6878819444","","","","","628.693","-131.28","0.98072","2.51278"
"2025-07-14 16:30:37","45852.6879282407","33.9","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:38","45852.6879398148","","","","","628.693","-127.78","0.98018","2.51273"
"2025-07-14 16:30:42","45852.6879861111","33.9","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:43","45852.6879976852","","","","","629.174","-129.12","0.97996","2.51276"
"2025-07-14 16:30:47","45852.6880439815","34.0","61.2","61.6","61.6","","","",""
"2025-07-14 16:30:48","45852.6880555556","","","","","629.414","-131.64","0.97987","2.51272"
"2025-07-14 16:30:52","45852.6881018519","34.0","61.2","61.5","61.6","","","",""
