"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-04 16:16:24","45842.6780555556","","","","","","","",""
"2025-07-04 16:16:29","45842.6781134259","32.9","46.2","45.0","44.8","","","",""
"2025-07-04 16:16:34","45842.6781712963","32.9","46.2","45.0","44.7","","","",""
"2025-07-04 16:16:39","45842.6782291667","32.8","46.1","44.9","44.7","","","",""
"2025-07-04 16:16:44","45842.6782870370","32.8","46.0","44.8","44.6","","","",""
"2025-07-04 16:16:49","45842.6783449074","32.7","45.8","44.6","44.4","","","",""
"2025-07-04 16:16:54","45842.6784027778","32.7","45.7","44.5","44.2","","","",""
"2025-07-04 16:16:59","45842.6784606481","32.6","45.5","44.3","44.2","","","",""
"2025-07-04 16:17:04","45842.6785185185","32.6","45.4","44.1","44.0","","","",""
"2025-07-04 16:17:09","45842.6785763889","32.6","45.2","43.9","43.8","","","",""
"2025-07-04 16:17:14","45842.6786342593","32.6","45.0","43.8","43.7","","","",""
"2025-07-04 16:17:19","45842.6786921296","32.7","44.9","43.7","43.6","","","",""
"2025-07-04 16:17:24","45842.6787500000","32.7","44.8","43.6","43.5","","","",""
"2025-07-04 16:17:27","45842.6787847222","","","","","","","",""
"2025-07-04 16:17:29","45842.6788078704","32.8","44.8","43.5","43.4","","","",""
"2025-07-04 16:17:32","45842.6788425926","","","","","391.790","-135.23","1.00411","2.50858"
"2025-07-04 16:17:34","45842.6788657407","32.9","44.6","43.4","43.3","","","",""
"2025-07-04 16:17:37","45842.6789004630","","","","","399.487","-134.34","1.00438","2.50852"
"2025-07-04 16:17:39","45842.6789236111","32.9","44.3","43.2","43.1","","","",""
"2025-07-04 16:17:42","45842.6789583333","","","","","402.854","-135.59","1.00481","2.50896"
"2025-07-04 16:17:44","45842.6789814815","32.8","44.2","43.0","42.9","","","",""
"2025-07-04 16:17:47","45842.6790162037","","","","","411.753","-136.31","1.00561","2.50881"
