"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-06 16:27:45","45844.6859375000","","","","","","","",""
"2025-07-06 16:27:50","45844.6859953704","34.1","48.9","40.5","40.3","","","",""
"2025-07-06 16:27:55","45844.6860532407","34.2","48.9","40.5","40.3","","","",""
"2025-07-06 16:28:00","45844.6861111111","34.3","48.9","40.5","40.3","","","",""
"2025-07-06 16:28:05","45844.6861689815","34.3","48.9","40.5","40.3","","","",""
"2025-07-06 16:28:10","45844.6862268519","34.3","48.8","40.5","40.3","","","",""
"2025-07-06 16:28:15","45844.6862847222","34.3","48.9","40.5","40.3","","","",""
"2025-07-06 16:28:20","45844.6863425926","34.4","48.9","40.5","40.3","622.439","-132.90","0.97405","2.49042"
"2025-07-06 16:28:25","45844.6864004630","34.6","48.9","40.5","40.3","622.439","-133.08","0.98050","2.50672"
"2025-07-06 16:28:30","45844.6864583333","34.7","48.8","40.6","40.3","622.199","-134.07","0.98064","2.50706"
"2025-07-06 16:28:35","45844.6865162037","34.6","48.7","40.6","40.4","621.958","-133.26","0.98107","2.50710"
"2025-07-06 16:28:40","45844.6865740741","34.6","48.7","40.6","40.3","621.237","-132.36","0.98085","2.50697"
"2025-07-06 16:28:45","45844.6866319444","34.5","48.6","40.6","40.3","620.515","-132.36","0.98054","2.50719"
"2025-07-06 16:28:50","45844.6866898148","34.5","48.7","40.6","40.3","621.237","-133.17","0.98088","2.50693"
"2025-07-06 16:28:55","45844.6867476852","34.5","48.7","40.6","40.3","620.515","-133.62","0.98109","2.50709"
"2025-07-06 16:29:00","45844.6868055556","34.5","48.6","40.6","40.3","620.515","-132.45","0.98080","2.50723"
"2025-07-06 16:29:05","45844.6868634259","34.5","48.6","40.6","40.3","620.034","-132.45","0.98081","2.50694"
"2025-07-06 16:29:10","45844.6869212963","34.5","48.6","40.6","40.3","619.794","-131.64","0.98066","2.50743"
