"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-07-07 16:37:05","45845.6924189815","","","","","","","",""
"2025-07-07 16:37:10","45845.6924768519","39.5","55.7","55.4","57.2","","","",""
"2025-07-07 16:37:15","45845.6925347222","39.5","55.7","55.4","57.2","","","",""
"2025-07-07 16:37:20","45845.6925925926","39.5","55.7","55.4","57.2","","","",""
"2025-07-07 16:37:25","45845.6926504630","39.5","55.7","55.4","57.2","","","",""
"2025-07-07 16:37:29","45845.6926967593","","","","","","","",""
"2025-07-07 16:37:30","45845.6927083333","39.5","55.7","55.4","57.2","","","",""
"2025-07-07 16:37:34","45845.6927546296","","","","","631.338","-150.69","0.90868","2.50885"
"2025-07-07 16:37:35","45845.6927662037","39.5","55.7","55.4","57.2","","","",""
"2025-07-07 16:37:39","45845.6928125000","","","","","631.579","-150.42","0.90841","2.50783"
"2025-07-07 16:37:40","45845.6928240741","39.5","55.7","55.4","57.1","","","",""
"2025-07-07 16:37:44","45845.6928703704","","","","","631.338","-149.43","0.90820","2.50789"
"2025-07-07 16:37:45","45845.6928819444","39.5","55.7","55.4","57.1","","","",""
"2025-07-07 16:37:49","45845.6929282407","","","","","630.617","-149.34","0.90810","2.50777"
"2025-07-07 16:37:50","45845.6929398148","39.6","55.7","55.4","57.1","","","",""
"2025-07-07 16:37:54","45845.6929861111","","","","","629.895","-148.44","0.90791","2.50747"
"2025-07-07 16:37:55","45845.6929976852","39.6","55.7","55.4","57.1","","","",""
"2025-07-07 16:37:59","45845.6930439815","","","","","630.857","-149.52","0.90757","2.50685"
"2025-07-07 16:38:00","45845.6930555556","39.6","55.6","55.4","57.1","","","",""
"2025-07-07 16:38:04","45845.6931018519","","","","","632.300","-150.69","0.90766","2.50684"
"2025-07-07 16:38:05","45845.6931134259","39.6","55.7","55.4","57.1","","","",""
