"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-06-20 14:38:58","45828.6103935185","","","","","","","",""
"2025-06-20 14:39:03","45828.6104513889","31.8","51.2","52.2","53.2","","","",""
"2025-06-20 14:39:08","45828.6105092593","31.9","51.3","52.4","53.3","","","",""
"2025-06-20 14:39:13","45828.6105671296","31.9","51.5","52.6","53.5","","","",""
"2025-06-20 14:39:18","45828.6106250000","31.9","51.6","52.6","53.6","","","",""
"2025-06-20 14:39:23","45828.6106828704","31.9","51.6","52.6","53.5","","","",""
"2025-06-20 14:39:28","45828.6107407407","32.0","51.6","52.6","53.6","","","",""
"2025-06-20 14:39:33","45828.6107986111","32.0","51.7","52.7","53.6","","","",""
"2025-06-20 14:39:38","45828.6108564815","32.1","51.7","52.9","53.8","","","",""
"2025-06-20 14:39:43","45828.6109143519","32.1","51.5","52.8","53.8","","","",""
"2025-06-20 14:39:48","45828.6109722222","32.0","51.2","52.6","53.8","","","",""
"2025-06-20 14:39:53","45828.6110300926","32.0","51.1","52.4","53.5","","","",""
"2025-06-20 14:39:58","45828.6110879630","32.0","50.9","52.3","53.3","","","",""
"2025-06-20 14:40:03","45828.6111458333","32.0","50.8","52.2","53.1","","","",""
"2025-06-20 14:40:08","45828.6112037037","32.0","50.7","52.2","53.0","","","",""
"2025-06-20 14:40:13","45828.6112615741","32.1","50.7","52.2","52.9","","","",""
"2025-06-20 14:40:18","45828.6113194444","32.0","50.6","52.2","52.8","","","",""
"2025-06-20 14:40:23","45828.6113773148","32.0","50.6","52.2","52.7","","","",""
"2025-06-20 14:40:28","45828.6114351852","32.1","50.5","52.3","52.6","","","",""
"2025-06-20 14:40:33","45828.6114930556","32.1","50.5","52.3","52.6","","","",""
"2025-06-20 14:40:38","45828.6115509259","32.1","50.5","52.4","52.6","","","",""
"2025-06-20 14:40:43","45828.6116087963","32.1","50.5","52.4","52.5","","","",""
