"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-06-21 16:31:08","45829.6882870370","","","","","","","",""
"2025-06-21 16:31:13","45829.6883449074","35.1","50.8","52.6","50.6","","","",""
"2025-06-21 16:31:18","45829.6884027778","35.1","50.8","52.6","50.6","","","",""
"2025-06-21 16:31:23","45829.6884606481","35.1","50.8","52.6","50.6","","","",""
"2025-06-21 16:31:28","45829.6885185185","35.2","50.8","52.6","50.6","","","",""
"2025-06-21 16:31:33","45829.6885763889","35.2","50.8","52.6","50.5","","","",""
"2025-06-21 16:31:38","45829.6886342593","35.2","50.8","52.6","50.5","","","",""
"2025-06-21 16:31:43","45829.6886921296","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:31:45","45829.6887152778","","","","","","","",""
"2025-06-21 16:31:48","45829.6887500000","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:31:50","45829.6887731481","","","","","592.376","-140.27","0.74771","2.50735"
"2025-06-21 16:31:53","45829.6888078704","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:31:55","45829.6888310185","","","","","591.895","-139.37","0.76392","2.50736"
"2025-06-21 16:31:58","45829.6888657407","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:32:00","45829.6888888889","","","","","592.135","-140.09","0.72390","2.50758"
"2025-06-21 16:32:03","45829.6889236111","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:32:05","45829.6889467593","","","","","593.097","-140.45","0.86483","2.50706"
"2025-06-21 16:32:08","45829.6889814815","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:32:10","45829.6890046296","","","","","592.135","-139.64","0.95975","2.50733"
"2025-06-21 16:32:13","45829.6890393519","35.2","50.8","52.5","50.5","","","",""
"2025-06-21 16:32:15","45829.6890625000","","","","","592.135","-140.09","0.96136","2.50739"
"2025-06-21 16:32:18","45829.6890972222","35.2","50.8","52.5","50.5","","","",""
