"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-06-22 16:30:03","45830.6875347222","","","","","","","",""
"2025-06-22 16:30:08","45830.6875925926","35.1","52.0","54.2","52.2","","","",""
"2025-06-22 16:30:13","45830.6876504630","35.2","52.0","54.1","52.2","","","",""
"2025-06-22 16:30:18","45830.6877083333","35.1","52.0","54.1","52.2","","","",""
"2025-06-22 16:30:23","45830.6877662037","35.1","52.0","54.1","52.2","","","",""
"2025-06-22 16:30:28","45830.6878240741","35.1","52.0","54.1","52.2","","","",""
"2025-06-22 16:30:33","45830.6878819444","35.1","52.0","54.1","52.2","","","",""
"2025-06-22 16:30:38","45830.6879398148","35.2","51.9","54.1","52.2","639.997","-140.72","0.98206","2.50738"
"2025-06-22 16:30:43","45830.6879976852","35.3","51.9","54.1","52.2","639.516","-141.79","0.96133","2.50735"
"2025-06-22 16:30:48","45830.6880555556","35.3","51.9","54.1","52.2","639.275","-142.33","0.98152","2.50735"
"2025-06-22 16:30:53","45830.6881134259","35.2","51.9","54.1","52.2","639.035","-142.96","0.98173","2.50729"
"2025-06-22 16:30:58","45830.6881712963","35.1","51.9","54.1","52.2","639.516","-143.41","0.98218","2.50707"
"2025-06-22 16:31:03","45830.6882291667","35.2","51.9","54.1","52.2","638.794","-141.53","0.98180","2.50726"
"2025-06-22 16:31:08","45830.6882870370","35.2","51.9","54.1","52.2","637.832","-142.42","0.98174","2.50718"
"2025-06-22 16:31:13","45830.6883449074","35.1","51.9","54.1","52.2","638.794","-143.32","0.98214","2.50720"
"2025-06-22 16:31:18","45830.6884027778","35.1","51.9","54.0","52.2","637.592","-139.37","0.98232","2.50697"
"2025-06-22 16:31:23","45830.6884606481","35.2","51.9","53.9","52.2","636.630","-138.38","0.98240","2.50725"
"2025-06-22 16:31:28","45830.6885185185","35.1","51.9","53.9","52.2","635.667","-134.43","0.98208","2.50724"
