"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-06-23 16:30:21","45831.6877430556","","","","","","","",""
"2025-06-23 16:30:26","45831.6878009259","27.6","51.5","49.0","49.4","","","",""
"2025-06-23 16:30:31","45831.6878587963","27.2","51.5","49.0","49.4","","","",""
"2025-06-23 16:30:36","45831.6879166667","27.2","51.5","49.0","49.4","","","",""
"2025-06-23 16:30:41","45831.6879745370","27.0","51.5","49.0","49.4","","","",""
"2025-06-23 16:30:46","45831.6880324074","27.2","51.5","49.0","49.4","","","",""
"2025-06-23 16:30:51","45831.6880902778","27.2","51.5","49.0","49.4","","","",""
"2025-06-23 16:30:56","45831.6881481481","26.9","51.5","49.0","49.4","","","",""
"2025-06-23 16:31:01","45831.6882060185","27.2","51.5","49.0","49.4","","","",""
"2025-06-23 16:31:06","45831.6882638889","27.2","51.5","49.0","49.4","","","",""
"2025-06-23 16:31:11","45831.6883217593","27.3","51.5","49.0","49.4","","","",""
"2025-06-23 16:31:16","45831.6883796296","26.9","51.5","49.0","49.4","","","",""
"2025-06-23 16:31:21","45831.6884375000","26.8","51.5","49.0","49.4","","","",""
"2025-06-23 16:31:26","45831.6884953704","26.9","51.6","49.0","49.4","649.858","-158.87","1.02229","2.50520"
"2025-06-23 16:31:31","45831.6885532407","26.7","51.6","49.0","49.4","650.339","-159.41","1.02230","2.50485"
"2025-06-23 16:31:36","45831.6886111111","26.7","51.6","49.0","49.4","650.098","-158.96","1.02238","2.50492"
"2025-06-23 16:31:41","45831.6886689815","27.0","51.6","49.0","49.4","650.339","-158.24","1.02238","2.50474"
"2025-06-23 16:31:46","45831.6887268519","27.1","51.6","49.0","49.4","650.098","-157.70","1.02224","2.50462"
"2025-06-23 16:31:51","45831.6887847222","27.3","51.6","49.0","49.4","649.377","-158.15","1.02236","2.50476"
