"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6","No.7","No.8"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST","Channel1","Channel2","Channel3","Channel4"
"","","°C","°C","°C","°C","W/m^2","W/m^2","V","V"
"2025-06-24 17:33:35","45832.7316550926","","","","","","","",""
"2025-06-24 17:33:40","45832.7317129630","25.3","32.5","31.8","31.4","","","",""
"2025-06-24 17:33:45","45832.7317708333","25.4","32.6","31.9","31.5","","","",""
"2025-06-24 17:33:50","45832.7318287037","25.3","32.7","32.0","31.6","","","",""
"2025-06-24 17:33:55","45832.7318865741","25.4","32.7","32.0","31.6","","","",""
"2025-06-24 17:33:57","45832.7319097222","","","","","","","",""
"2025-06-24 17:34:00","45832.7319444444","25.5","32.9","32.1","31.8","","","",""
"2025-06-24 17:34:02","45832.7319675926","","","","","480.539","-116.36","1.24814","2.50033"
"2025-06-24 17:34:05","45832.7320023148","25.5","32.9","32.2","31.9","","","",""
"2025-06-24 17:34:07","45832.7320254630","","","","","480.539","-115.65","1.24833","2.49998"
"2025-06-24 17:34:10","45832.7320601852","25.4","32.9","32.2","31.8","","","",""
"2025-06-24 17:34:12","45832.7320833333","","","","","479.095","-116.27","1.24856","2.50047"
"2025-06-24 17:34:15","45832.7321180556","25.4","32.8","32.1","31.8","","","",""
"2025-06-24 17:34:17","45832.7321412037","","","","","481.260","-115.56","1.24881","2.50032"
"2025-06-24 17:34:20","45832.7321759259","25.5","32.8","32.1","31.8","","","",""
"2025-06-24 17:34:22","45832.7321990741","","","","","481.020","-115.11","1.24881","2.50007"
"2025-06-24 17:34:25","45832.7322337963","25.5","32.8","32.1","31.8","","","",""
"2025-06-24 17:34:27","45832.7322569444","","","","","481.260","-114.84","1.24878","2.50039"
"2025-06-24 17:34:30","45832.7322916667","25.5","32.8","32.1","31.8","","","",""
"2025-06-24 17:34:32","45832.7323148148","","","","","483.184","-108.10","1.24852","2.50045"
"2025-06-24 17:34:35","45832.7323495370","25.5","32.9","32.1","31.9","","","",""
