start,end,condition
2025-06-20 16:00:00,2025-06-20 18:45:00,direct sun
2025-06-20 18:45:00,2025-06-20 21:04:00,indirect sun
2025-06-20 21:04:00,2025-06-21 06:03:00,night
2025-06-21 06:03:00,2025-06-21 08:18:00,indirect sun
2025-06-21 08:18:00,2025-06-21 16:31:00,direct sun
2025-06-21 09:34:00,2025-06-21 10:22:00,cloudy
2025-06-21 16:31:13,2025-06-21 18:48:00,direct sun
2025-06-21 18:48:00,2025-06-21 21:00:00,indirect sun
2025-06-21 21:00:00,2025-06-22 06:06:15,night
2025-06-22 06:06:15,2025-06-22 08:09:25,indirect sun
2025-06-22 08:09:25,2025-06-22 16:30:00,direct sun
2025-06-21 18:33:00,2025-06-21 19:15:00,cloudy
2025-06-21 20:12:00,2025-06-21 20:19:00,cloudy
2025-06-22 08:04:00,2025-06-22 08:44:45,cloudy
2025-06-22 13:03:38,2025-06-22 13:15:00,cloudy
2025-06-22 13:29:20,2025-06-22 14:40:33,cloudy
2025-06-22 15:26:58,2025-06-22 16:19:53,cloudy
2025-06-22 16:30:00,2025-06-22 18:48:00,direct sun
2025-06-22 18:48:00,2025-06-22 21:00:00,indirect sun
2025-06-22 21:00:00,2025-06-23 06:06:15,night
2025-06-23 06:06:15,2025-06-23 08:09:25,indirect sun
2025-06-23 08:09:25,2025-06-23 16:30:00,direct sun
2025-06-22 17:09:00,2025-06-23 15:26:00,cloudy
2025-06-23 16:30:00,2025-06-23 18:48:00,direct sun
2025-06-23 18:48:00,2025-06-23 21:00:00,indirect sun
2025-06-23 21:00:00,2025-06-24 06:06:15,night
2025-06-24 06:06:15,2025-06-24 08:09:25,indirect sun
2025-06-24 08:09:25,2025-06-24 16:33:00,direct sun
2025-06-24 08:15:00,2025-06-24 13:45:00,cloudy
2025-06-24 14:09:00,2025-06-24 14:33:00,cloudy
2025-06-24 15:09:00,2025-06-24 15:33:00,cloudy
2025-06-24 15:45:00,2025-06-24 15:58:00,cloudy
2025-06-24 16:30:00,2025-06-24 18:48:00,direct sun
2025-06-24 18:48:00,2025-06-24 21:00:00,indirect sun
2025-06-24 21:00:00,2025-06-25 06:06:15,night
2025-06-25 06:06:15,2025-06-25 08:09:25,indirect sun
2025-06-25 08:09:25,2025-06-25 18:06:00,direct sun
2025-06-25 07:06:00,2025-06-25 13:10:00,cloudy
2025-07-04 16:30:00,2025-07-04 18:48:00,direct sun
2025-07-04 18:48:00,2025-07-04 21:00:00,indirect sun
2025-07-04 21:00:00,2025-07-05 06:23:15,night
2025-07-05 06:23:15,2025-07-05 08:23:25,indirect sun
2025-07-05 08:23:25,2025-07-05 16:33:00,direct sun
2025-07-05 16:30:00,2025-07-05 18:48:00,direct sun
2025-07-05 18:48:00,2025-07-05 21:00:00,indirect sun
2025-07-05 21:00:00,2025-07-06 06:23:15,night
2025-07-06 06:23:15,2025-07-06 08:23:25,indirect sun
2025-07-06 08:23:25,2025-07-06 16:33:00,direct sun
2025-07-06 16:30:00,2025-07-06 18:50:00,direct sun
2025-07-06 18:50:00,2025-07-06 20:50:00,indirect sun
2025-07-06 20:50:00,2025-07-07 06:23:45,night
2025-07-07 06:23:45,2025-07-07 08:23:00,indirect sun
2025-07-07 08:23:00,2025-07-07 16:40:00,direct sun
2025-07-07 16:30:00,2025-07-07 18:51:00,direct sun
2025-07-07 18:51:00,2025-07-07 21:00:00,indirect sun
2025-07-07 21:00:00,2025-07-08 06:07:00,night
2025-07-08 06:07:00,2025-07-08 08:22:00,indirect sun
2025-07-08 08:22:00,2025-07-08 16:45:00,direct sun
2025-07-08 16:30:00,2025-07-08 18:54:00,direct sun
2025-07-08 18:54:00,2025-07-08 21:04:00,indirect sun
2025-07-08 21:04:00,2025-07-09 06:10:00,night
2025-07-09 06:10:00,2025-07-09 08:22:00,indirect sun
2025-07-09 08:22:00,2025-07-09 16:30:00,direct sun
2025-07-09 16:30:00,2025-07-09 18:54:00,direct sun
2025-07-09 18:51:00,2025-07-09 21:00:00,indirect sun
2025-07-09 21:00:00,2025-07-10 06:12:00,night
2025-07-10 06:12:00,2025-07-10 08:22:00,indirect sun
2025-07-10 08:22:00,2025-07-10 16:45:00,direct sun
2025-07-08 18:09:00,2025-07-08 18:15:00,cloudy
2025-07-09 12:40:00,2025-07-09 13:00:00,cloudy
2025-07-10 09:37:00,2025-07-10 10:09:00,cloudy
2025-07-10 16:30:00,2025-07-10 18:51:00,direct sun
2025-07-10 18:51:00,2025-07-10 21:03:00,indirect sun
2025-07-10 21:03:00,2025-07-11 06:17:00,night
2025-07-11 06:17:00,2025-07-11 08:36:00,indirect sun
2025-07-11 08:36:00,2025-07-11 16:36:00,direct sun
2025-07-11 09:21:00,2025-07-11 16:25:00,cloudy
2025-06-25 16:30:00,2025-06-25 18:48:00,direct sun
2025-06-25 18:48:00,2025-06-25 20:50:00,indirect sun
2025-06-25 20:50:00,2025-06-26 06:05:00,night
2025-06-26 06:05:00,2025-06-26 08:17:00,indirect sun
2025-06-26 08:17:00,2025-06-26 16:30:00,direct sun
2025-06-26 16:30:00,2025-06-26 18:48:00,direct sun
2025-06-26 18:48:00,2025-06-26 20:50:00,indirect sun
2025-06-26 20:50:00,2025-06-27 06:05:00,night
2025-06-27 06:05:00,2025-06-27 08:17:00,indirect sun
2025-06-27 08:17:00,2025-06-27 16:30:00,direct sun
2025-06-27 16:30:00,2025-06-27 18:48:00,direct sun
2025-06-27 18:48:00,2025-06-27 20:50:00,indirect sun
2025-06-27 20:50:00,2025-06-28 06:05:00,night
2025-06-28 06:05:00,2025-06-28 08:17:00,indirect sun
2025-06-28 08:17:00,2025-06-28 16:30:00,direct sun
2025-06-28 16:30:00,2025-06-28 18:48:00,direct sun
2025-06-28 18:48:00,2025-06-28 20:50:00,indirect sun
2025-06-28 20:50:00,2025-06-29 06:05:00,night
2025-06-29 06:05:00,2025-06-29 08:17:00,indirect sun
2025-06-29 08:17:00,2025-06-29 16:30:00,direct sun
2025-06-29 16:30:00,2025-06-29 18:48:00,direct sun
2025-06-29 18:48:00,2025-06-29 20:50:00,indirect sun
2025-06-29 20:50:00,2025-06-30 06:05:00,night
2025-06-30 06:05:00,2025-06-30 08:17:00,indirect sun
2025-06-30 08:17:00,2025-06-30 16:30:00,direct sun
2025-06-30 16:30:00,2025-06-30 18:48:00,direct sun
2025-06-30 18:48:00,2025-06-30 20:50:00,indirect sun
2025-06-30 20:50:00,2025-07-01 06:05:00,night
2025-07-01 06:05:00,2025-07-01 08:17:00,indirect sun
2025-07-01 08:17:00,2025-07-01 16:30:00,direct sun
2025-07-01 16:30:00,2025-07-01 18:48:00,direct sun
2025-07-01 18:48:00,2025-07-01 20:50:00,indirect sun
2025-07-01 20:50:00,2025-07-02 06:05:00,night
2025-07-02 06:05:00,2025-07-02 08:17:00,indirect sun
2025-07-02 08:17:00,2025-07-02 16:30:00,direct sun
2025-07-02 16:30:00,2025-07-02 18:48:00,direct sun
2025-07-02 18:48:00,2025-07-02 20:50:00,indirect sun
2025-07-02 20:50:00,2025-07-03 06:05:00,night
2025-07-03 06:05:00,2025-07-03 08:17:00,indirect sun
2025-07-03 08:17:00,2025-07-03 16:30:00,direct sun
2025-07-03 16:30:00,2025-07-03 18:48:00,direct sun
2025-07-03 18:48:00,2025-07-03 20:50:00,indirect sun
2025-07-03 20:50:00,2025-07-04 06:05:00,night
2025-07-04 06:05:00,2025-07-04 08:17:00,indirect sun
2025-07-04 08:17:00,2025-07-04 16:30:00,direct sun
2025-07-04 16:30:00,2025-07-04 18:48:00,direct sun
2025-07-04 18:48:00,2025-07-04 20:50:00,indirect sun
2025-07-04 20:50:00,2025-07-05 06:05:00,night
2025-07-05 06:05:00,2025-07-05 08:17:00,indirect sun
2025-07-05 08:17:00,2025-07-05 16:30:00,direct sun
2025-06-20 16:25:00,2025-06-20 17:10:00,adjustment period
2025-06-21 16:25:00,2025-06-21 17:10:00,adjustment period
2025-06-21 18:40:00,2025-06-21 19:01:00,adjustment period
2025-06-22 16:25:00,2025-06-22 17:10:00,adjustment period
2025-06-23 16:25:00,2025-06-23 17:10:00,adjustment period
2025-06-24 16:25:00,2025-06-24 17:10:00,adjustment period
2025-06-24 17:25:00,2025-06-24 18:05:00,adjustment period
