date_yyyymmdd,sunrise_hhmm,sunset_hhmm,twilight_astro_start_hhmm,twilight_astro_end_hhmm,twilight_nauti_start_hhmm,twilight_nauti_end_hhmm,twilight_civil_start_hhmm,twilight_civil_end_hhmm,solar_noon_hhmm
2025-06-01,0615,2048,0425,2238,0507,2156,0545,2118,1331
2025-06-02,0615,2048,0425,2239,0507,2157,0544,2119,1331
2025-06-03,0614,2049,0424,2240,0506,2157,0544,2120,1332
2025-06-04,0614,2050,0424,2240,0506,2158,0544,2120,1332
2025-06-05,0614,2050,0423,2241,0505,2159,0543,2121,1332
2025-06-06,0614,2051,0423,2242,0505,2200,0543,2121,1332
2025-06-07,0613,2051,0422,2243,0505,2200,0543,2122,1332
2025-06-08,0613,2052,0422,2244,0504,2201,0543,2123,1332
2025-06-09,0613,2052,0421,2244,0504,2201,0542,2123,1333
2025-06-10,0613,2053,0421,2245,0504,2202,0542,2124,1333
2025-06-11,0613,2053,0421,2246,0504,2203,0542,2124,1333
2025-06-12,0613,2054,0421,2246,0504,2203,0542,2125,1333
2025-06-13,0613,2054,0420,2247,0504,2204,0542,2125,1334
2025-06-14,0613,2055,0420,2247,0504,2204,0542,2125,1334
2025-06-15,0613,2055,0420,2248,0504,2204,0542,2126,1334
2025-06-16,0613,2055,0420,2248,0504,2205,0542,2126,1334
2025-06-17,0613,2056,0420,2249,0504,2205,0542,2127,1334
2025-06-18,0613,2056,0420,2249,0504,2205,0542,2127,1335
2025-06-19,0613,2056,0420,2249,0504,2206,0542,2127,1335
2025-06-20,0614,2056,0421,2249,0504,2206,0543,2127,1335
2025-06-21,0614,2057,0421,2250,0504,2206,0543,2128,1335
2025-06-22,0614,2057,0421,2250,0504,2206,0543,2128,1335
2025-06-23,0614,2057,0421,2250,0505,2207,0543,2128,1336
2025-06-24,0615,2057,0422,2250,0505,2207,0544,2128,1336
2025-06-25,0615,2057,0422,2250,0505,2207,0544,2128,1336
2025-06-26,0615,2057,0422,2250,0506,2207,0544,2128,1336
2025-06-27,0616,2057,0423,2250,0506,2207,0545,2128,1337
2025-06-28,0616,2057,0423,2250,0507,2207,0545,2128,1337
2025-06-29,0616,2057,0424,2250,0507,2207,0546,2128,1337
2025-06-30,0617,2057,0424,2249,0508,2206,0546,2128,1337
2025-07-01,0617,2058,0425,2250,0508,2207,0547,2128,1338
2025-07-02,0618,2058,0426,2249,0509,2207,0547,2128,1338
2025-07-03,0618,2057,0426,2249,0509,2206,0548,2128,1338
2025-07-04,0619,2057,0427,2249,0510,2206,0548,2128,1338
2025-07-05,0619,2057,0428,2248,0511,2206,0549,2128,1338
2025-07-06,0620,2057,0429,2248,0511,2205,0549,2127,1338
2025-07-07,0621,2057,0430,2247,0512,2205,0550,2127,1339
2025-07-08,0621,2056,0430,2247,0513,2205,0551,2127,1339
2025-07-09,0622,2056,0431,2246,0513,2204,0551,2126,1339
2025-07-10,0622,2056,0432,2245,0514,2204,0552,2126,1339
2025-07-11,0623,2055,0433,2245,0515,2203,0553,2125,1339
2025-07-12,0624,2055,0434,2244,0516,2202,0553,2125,1339
2025-07-13,0624,2054,0435,2243,0517,2202,0554,2125,1339
2025-07-14,0625,2054,0436,2242,0517,2201,0555,2124,1340
2025-07-15,0626,2053,0437,2241,0518,2201,0556,2123,1340
2025-07-16,0626,2053,0438,2241,0519,2200,0556,2123,1340
2025-07-17,0627,2052,0439,2240,0520,2159,0557,2122,1340
2025-07-18,0628,2052,0440,2239,0521,2158,0558,2122,1340
2025-07-19,0628,2051,0441,2238,0522,2157,0559,2121,1340
2025-07-20,0629,2050,0443,2237,0523,2157,0559,2120,1340
2025-07-21,0630,2050,0444,2236,0524,2156,0600,2119,1340
2025-07-22,0631,2049,0445,2235,0525,2155,0601,2119,1340
2025-07-23,0632,2048,0446,2233,0526,2154,0602,2118,1340
2025-07-24,0632,2048,0447,2232,0527,2153,0603,2117,1340
2025-07-25,0633,2047,0448,2231,0528,2152,0604,2116,1340
2025-07-26,0634,2046,0450,2230,0529,2151,0605,2115,1340
2025-07-27,0635,2045,0451,2229,0530,2150,0605,2114,1340
2025-07-28,0635,2044,0452,2227,0531,2149,0606,2113,1340
2025-07-29,0636,2044,0453,2226,0532,2148,0607,2112,1340
2025-07-30,0637,2043,0455,2225,0533,2147,0608,2112,1340
2025-07-31,0638,2042,0456,2223,0534,2146,0609,2110,1340
