date_yyyymmdd,sunrise_hhmm,sunset_hhmm,twilight_astro_start_hhmm,twilight_astro_end_hhmm,twilight_nauti_start_hhmm,twilight_nauti_end_hhmm,twilight_civil_start_hhmm,twilight_civil_end_hhmm,solar_noon_hhmm
2025-06-01,0615,2048,0425,2238,0507,2156,0545,2118,1331
2025-06-02,0615,2048,0425,2239,0507,2157,0544,2119,1331
2025-06-03,0614,2049,0424,2240,0506,2157,0544,2120,1332
2025-06-04,0614,2050,0424,2240,0506,2158,0544,2120,1332
2025-06-05,0614,2050,0423,2241,0505,2159,0543,2121,1332
2025-06-06,0614,2051,0423,2242,0505,2200,0543,2121,1332
2025-06-07,0613,2051,0422,2243,0505,2200,0543,2122,1332
2025-06-08,0613,2052,0422,2244,0504,2201,0543,2123,1332
2025-06-09,0613,2052,0421,2244,0504,2201,0542,2123,1333
2025-06-10,0613,2053,0421,2245,0504,2202,0542,2124,1333
2025-06-11,0613,2053,0421,2246,0504,2203,0542,2124,1333
2025-06-12,0613,2054,0421,2246,0504,2203,0542,2125,1333
2025-06-13,0613,2054,0420,2247,0504,2204,0542,2125,1334
2025-06-14,0613,2055,0420,2247,0504,2204,0542,2125,1334
2025-06-15,0613,2055,0420,2248,0504,2204,0542,2126,1334
2025-06-16,0613,2055,0420,2248,0504,2205,0542,2126,1334
2025-06-17,0613,2056,0420,2249,0504,2205,0542,2127,1334
2025-06-18,0613,2056,0420,2249,0504,2205,0542,2127,1335
2025-06-19,0613,2056,0420,2249,0504,2206,0542,2127,1335
2025-06-20,0614,2056,0421,2249,0504,2206,0543,2127,1335
2025-06-21,0614,2057,0421,2250,0504,2206,0543,2128,1335
2025-06-22,0614,2057,0421,2250,0504,2206,0543,2128,1335
2025-06-23,0614,2057,0421,2250,0505,2207,0543,2128,1336
2025-06-24,0615,2057,0422,2250,0505,2207,0544,2128,1336
2025-06-25,0615,2057,0422,2250,0505,2207,0544,2128,1336
2025-06-26,0615,2057,0422,2250,0506,2207,0544,2128,1336
2025-06-27,0616,2057,0423,2250,0506,2207,0545,2128,1337
2025-06-28,0616,2057,0423,2250,0507,2207,0545,2128,1337
2025-06-29,0616,2057,0424,2250,0507,2207,0546,2128,1337
2025-06-30,0617,2057,0424,2249,0508,2206,0546,2128,1337
