wl,n
10.000,1.30405
10.050,1.30263
10.100,1.30119
10.150,1.29975
10.200,1.29829
10.250,1.29682
10.300,1.29534
10.350,1.29385
10.400,1.29235
10.450,1.29083
10.500,1.28931
10.550,1.28777
10.600,1.28623
10.650,1.28467
10.700,1.28309
10.750,1.28151
10.800,1.27992
10.850,1.27831
10.900,1.27669
10.950,1.27506
11.000,1.27341
11.050,1.27176
11.100,1.27009
11.150,1.26841
11.200,1.26671
11.250,1.26501
11.300,1.26329
11.350,1.26156
11.400,1.25981
11.450,1.25805
11.500,1.25628
11.550,1.25449
11.600,1.25270
11.650,1.25088
11.700,1.24906
11.750,1.24722
11.800,1.24536
11.850,1.24350
11.900,1.24161
11.950,1.23972
12.000,1.23781
12.050,1.23588
12.100,1.23394
12.150,1.23199
12.200,1.23002
12.250,1.22804
12.300,1.22604
12.350,1.22402
12.400,1.22199
12.450,1.21995
12.500,1.21789
12.550,1.21581
12.600,1.21372
12.650,1.21161
12.700,1.20948
12.750,1.20734
12.800,1.20519
12.850,1.20301
12.900,1.20082
12.950,1.19861
13.000,1.19639
13.050,1.19414
13.100,1.19188
13.150,1.18961
13.200,1.18731
13.250,1.18500
13.300,1.18267
13.350,1.18032
13.400,1.17795
13.450,1.17556
13.500,1.17316
13.550,1.17073
13.600,1.16829
13.650,1.16583
13.700,1.16334
13.750,1.16084
13.800,1.15832
13.850,1.15578
13.900,1.15321
13.950,1.15063
14.000,1.14803
14.050,1.14540
14.100,1.14275
14.150,1.14008
14.200,1.13739
14.250,1.13468
14.300,1.13195
14.350,1.12919
14.400,1.12641
14.450,1.12361
14.500,1.12078
14.550,1.11793
14.600,1.11506
14.650,1.11216
14.700,1.10924
14.750,1.10630
14.800,1.10333
14.850,1.10033
14.900,1.09731
14.950,1.09426
15.000,1.09119
15.050,1.08809
15.100,1.08496
15.150,1.08181
15.200,1.07863
15.250,1.07542
15.300,1.07219
15.350,1.06892
15.400,1.06563
15.450,1.06230
15.500,1.05895
15.550,1.05557
15.600,1.05216
15.650,1.04871
15.700,1.04524
15.750,1.04173
15.800,1.03820
15.850,1.03463
15.900,1.03102
15.950,1.02739
16.000,1.02372
16.050,1.02001
16.100,1.01627
16.150,1.01250
16.200,1.00869
16.250,1.00484
16.300,1.00096
16.350,0.997036
16.400,0.993078
16.450,0.989080
16.500,0.985044
16.550,0.980968
16.600,0.976851
16.650,0.972694
16.700,0.968494
16.750,0.964253
16.800,0.959968
16.850,0.955640
16.900,0.951268
16.950,0.946850
17.000,0.942386
17.050,0.937875
17.100,0.933317
17.150,0.928711
17.200,0.924055
17.250,0.919350
17.300,0.914593
17.350,0.909784
17.400,0.904923
17.450,0.900007
17.500,0.895037
17.550,0.890011
17.600,0.884928
17.650,0.879786
17.700,0.874586
17.750,0.869324
17.800,0.864002
17.850,0.858616
17.900,0.853166
17.950,0.847650
18.000,0.842068
18.050,0.836416
18.100,0.830695
18.150,0.824903
18.200,0.819037
18.250,0.813097
18.300,0.807080
18.350,0.800985
18.400,0.794810
18.450,0.788553
18.500,0.782211
18.550,0.775784
18.600,0.769269
18.650,0.762663
18.700,0.755964
18.750,0.749170
18.800,0.742279
18.850,0.735287
18.900,0.728192
18.950,0.720992
19.000,0.713682
19.050,0.706261
19.100,0.698725
19.150,0.691070
19.200,0.683293
19.250,0.675391
19.300,0.667360
19.350,0.659196
19.400,0.650895
19.450,0.642452
19.500,0.633863
19.550,0.625125
19.600,0.616231
19.650,0.607178
19.700,0.597960
19.750,0.588573
19.800,0.579011
19.850,0.569269
19.900,0.559343
19.950,0.549227
20.000,0.538917
20.050,0.528409
20.100,0.517698
20.150,0.506782
20.200,0.495659
20.250,0.484328
20.300,0.472792
20.350,0.461054
20.400,0.449122
20.450,0.437008
20.500,0.424728
20.550,0.412305
20.600,0.399771
20.650,0.387164
20.700,0.374536
20.750,0.361945
20.800,0.349462
20.850,0.337166
20.900,0.325140
20.950,0.313473
21.000,0.302246
21.050,0.291534
21.100,0.281397
21.150,0.271876
21.200,0.262998
21.250,0.254766
21.300,0.247172
21.350,0.240192
21.400,0.233798
21.450,0.227950
21.500,0.222611
21.550,0.217740
21.600,0.213297
21.650,0.209247
21.700,0.205553
21.750,0.202184
21.800,0.199110
21.850,0.196306
21.900,0.193747
21.950,0.191411
22.000,0.189281
22.050,0.187338
22.100,0.185566
22.150,0.183953
22.200,0.182486
22.250,0.181154
22.300,0.179946
22.350,0.178854
22.400,0.177869
22.450,0.176985
22.500,0.176194
22.550,0.175491
22.600,0.174870
22.650,0.174327
22.700,0.173856
22.750,0.173454
22.800,0.173117
22.850,0.172842
22.900,0.172625
22.950,0.172463
23.000,0.172355
23.050,0.172297
23.100,0.172287
23.150,0.172323
23.200,0.172404
23.250,0.172527
23.300,0.172691
23.350,0.172894
23.400,0.173135
23.450,0.173413
23.500,0.173727
23.550,0.174074
23.600,0.174455
23.650,0.174868
23.700,0.175313
23.750,0.175788
23.800,0.176293
23.850,0.176827
23.900,0.177389
23.950,0.177978
24.000,0.178595
24.050,0.179238
24.100,0.179906
24.150,0.180600
24.200,0.181319
24.250,0.182062
24.300,0.182830
24.350,0.183620
24.400,0.184434
24.450,0.185270
24.500,0.186129
24.550,0.187009
24.600,0.187911
24.650,0.188835
24.700,0.189779
24.750,0.190744
24.800,0.191730
24.850,0.192736
24.900,0.193761
24.950,0.194806
25.000,0.195870
25.050,0.196954
25.100,0.198056
25.150,0.199176
25.200,0.200315
25.250,0.201472
25.300,0.202646
25.350,0.203838
25.400,0.205047
25.450,0.206273
25.500,0.207516
25.550,0.208775
25.600,0.210050
25.650,0.211341
25.700,0.212647
25.750,0.213969
25.800,0.215305
25.850,0.216656
25.900,0.218022
25.950,0.219401
26.000,0.220794
26.050,0.222201
26.100,0.223620
26.150,0.225052
26.200,0.226495
26.250,0.227951
26.300,0.229418
26.350,0.230896
26.400,0.232384
26.450,0.233882
26.500,0.235390
26.550,0.236907
26.600,0.238432
26.650,0.239966
26.700,0.241507
26.750,0.243054
26.800,0.244608
26.850,0.246168
26.900,0.247733
26.950,0.249303
27.000,0.250876
27.050,0.252453
27.100,0.254032
27.150,0.255613
27.200,0.257195
27.250,0.258777
27.300,0.260359
27.350,0.261940
27.400,0.263518
27.450,0.265094
27.500,0.266666
27.550,0.268234
27.600,0.269796
27.650,0.271352
27.700,0.272900
27.750,0.274441
27.800,0.275972
27.850,0.277493
27.900,0.279004
27.950,0.280502
28.000,0.281987
28.050,0.283458
28.100,0.284914
28.150,0.286354
28.200,0.287776
28.250,0.289181
28.300,0.290566
28.350,0.291931
28.400,0.293275
28.450,0.294596
28.500,0.295894
28.550,0.297167
28.600,0.298414
28.650,0.299635
28.700,0.300829
28.750,0.301993
28.800,0.303128
28.850,0.304233
28.900,0.305305
28.950,0.306345
29.000,0.307352
29.050,0.308324
29.100,0.309261
29.150,0.310161
29.200,0.311025
29.250,0.311850
29.300,0.312638
29.350,0.313386
29.400,0.314094
29.450,0.314761
29.500,0.315387
29.550,0.315972
29.600,0.316514
29.650,0.317013
29.700,0.317470
29.750,0.317883
29.800,0.318253
29.850,0.318578
29.900,0.318859
29.950,0.319097
30.000,0.319289
30.050,0.319438
30.100,0.319542
30.150,0.319602
30.200,0.319619
30.250,0.319591
30.300,0.319521
30.350,0.319407
30.400,0.319251
30.450,0.319052
30.500,0.318813
30.550,0.318532
30.600,0.318211
30.650,0.317850
30.700,0.317451
30.750,0.317014
30.800,0.316541
30.850,0.316031
30.900,0.315486
30.950,0.314907
31.000,0.314296
31.050,0.313653
31.100,0.312979
31.150,0.312276
31.200,0.311546
31.250,0.310788
31.300,0.310006
31.350,0.309200
31.400,0.308371
31.450,0.307521
31.500,0.306652
31.550,0.305765
31.600,0.304861
31.650,0.303942
31.700,0.303011
31.750,0.302067
31.800,0.301113
31.850,0.300151
31.900,0.299181
31.950,0.298207
32.000,0.297228
32.050,0.296248
32.100,0.295268
32.150,0.294288
32.200,0.293312
32.250,0.292340
32.300,0.291375
32.350,0.290417
32.400,0.289469
32.450,0.288533
32.500,0.287609
32.550,0.286700
32.600,0.285807
32.650,0.284932
32.700,0.284076
32.750,0.283242
32.800,0.282430
32.850,0.281643
32.900,0.280882
32.950,0.280149
33.000,0.279445
33.050,0.278772
33.100,0.278132
33.150,0.277526
33.200,0.276956
33.250,0.276423
33.300,0.275930
33.350,0.275478
33.400,0.275069
33.450,0.274704
33.500,0.274386
33.550,0.274115
33.600,0.273895
33.650,0.273725
33.700,0.273610
33.750,0.273550
33.800,0.273547
33.850,0.273603
33.900,0.273721
33.950,0.273902
34.000,0.274148
34.050,0.274463
34.100,0.274847
34.150,0.275304
34.200,0.275835
34.250,0.276444
34.300,0.277133
34.350,0.277904
34.400,0.278761
34.450,0.279706
34.500,0.280742
34.550,0.281873
34.600,0.283102
34.650,0.284432
34.700,0.285867
34.750,0.287411
34.800,0.289068
34.850,0.290842
34.900,0.292737
34.950,0.294759
35.000,0.296911
35.050,0.299201
35.100,0.301632
35.150,0.304210
35.200,0.306943
35.250,0.309836
35.300,0.312897
35.350,0.316132
35.400,0.319551
35.450,0.323160
35.500,0.326969
35.550,0.330987
35.600,0.335225
35.650,0.339693
35.700,0.344403
35.750,0.349367
35.800,0.354599
35.850,0.360113
35.900,0.365923
35.950,0.372047
36.000,0.378502
36.050,0.385307
36.100,0.392482
36.150,0.400051
36.200,0.408036
36.250,0.416464
36.300,0.425363
36.350,0.434764
36.400,0.444699
36.450,0.455206
36.500,0.466323
36.550,0.478095
36.600,0.490567
36.650,0.503793
36.700,0.517829
36.750,0.532738
36.800,0.548589
36.850,0.565459
36.900,0.583431
36.950,0.602601
37.000,0.623072
37.050,0.644962
37.100,0.668399
37.150,0.693531
37.200,0.720520
37.250,0.749552
37.300,0.780835
37.350,0.814606
37.400,0.851133
37.450,0.890725
37.500,0.933731
37.550,0.980556
37.600,1.03167
37.650,1.08760
37.700,1.14899
37.750,1.21656
37.800,1.29118
37.850,1.37385
37.900,1.46578
37.950,1.56840
38.000,1.68340
38.050,1.81285
38.100,1.95920
38.150,2.12545
38.200,2.31521
38.250,2.53291
38.300,2.78391
38.350,3.07469
38.400,3.41306
38.450,3.80822
38.500,4.27068
38.550,4.81182
38.600,5.44255
38.650,6.17086
38.700,6.99729
38.750,7.90869
38.800,8.87151
38.850,9.82905
38.900,10.7082
38.950,11.4376
39.000,11.9696
39.050,12.2923
39.100,12.4258
39.150,12.4081
39.200,12.2810
39.250,12.0816
39.300,11.8387
39.350,11.5728
39.400,11.2980
39.450,11.0235
39.500,10.7549
39.550,10.4956
39.600,10.2474
39.650,10.0111
39.700,9.78693
39.750,9.57460
39.800,9.37370
39.850,9.18368
39.900,9.00392
39.950,8.83378
40.000,8.67263
40.050,8.51985
40.100,8.37488
40.150,8.23716
40.200,8.10621
40.250,7.98154
40.300,7.86274
40.350,7.74940
40.400,7.64116
40.450,7.53768
40.500,7.43866
40.550,7.34380
40.600,7.25285
40.650,7.16557
40.700,7.08173
40.750,7.00113
40.800,6.92358
40.850,6.84890
40.900,6.77694
40.950,6.70754
41.000,6.64056
41.050,6.57587
41.100,6.51336
41.150,6.45291
41.200,6.39441
41.250,6.33777
41.300,6.28291
41.350,6.22972
41.400,6.17814
41.450,6.12808
41.500,6.07949
41.550,6.03228
41.600,5.98641
41.650,5.94181
41.700,5.89843
41.750,5.85621
41.800,5.81511
41.850,5.77509
41.900,5.73609
41.950,5.69808
42.000,5.66101
42.050,5.62486
42.100,5.58959
42.150,5.55516
42.200,5.52154
42.250,5.48871
42.300,5.45663
42.350,5.42527
42.400,5.39462
42.450,5.36464
42.500,5.33532
42.550,5.30663
42.600,5.27855
42.650,5.25106
42.700,5.22415
42.750,5.19778
42.800,5.17195
42.850,5.14664
42.900,5.12183
42.950,5.09750
43.000,5.07365
43.050,5.05025
43.100,5.02730
43.150,5.00478
43.200,4.98268
43.250,4.96098
43.300,4.93967
43.350,4.91875
43.400,4.89821
43.450,4.87802
43.500,4.85819
43.550,4.83870
43.600,4.81954
43.650,4.80071
43.700,4.78219
43.750,4.76398
43.800,4.74607
43.850,4.72845
43.900,4.71112
43.950,4.69407
44.000,4.67728
44.050,4.66076
