"Date/Time","Date/Time","No.1","No.2","No.3"
"Date/Time","Date/Time","A","B","air"
"","","°C","°C","°C"
"2025-10-03 14:08:12","45933.5890277778","","",""
"2025-10-03 14:08:17","45933.5890856481","52.0","51.5","35.3"
"2025-10-03 14:08:22","45933.5891435185","52.2","51.7","35.3"
"2025-10-03 14:08:27","45933.5892013889","52.3","51.8","35.1"
"2025-10-03 14:08:32","45933.5892592593","52.3","51.8","35.1"
"2025-10-03 14:08:37","45933.5893171296","52.2","51.7","35.0"
"2025-10-03 14:08:42","45933.5893750000","52.2","51.7","35.1"
"2025-10-03 14:08:47","45933.5894328704","52.2","51.7","35.0"
"2025-10-03 14:08:52","45933.5894907407","52.2","51.7","34.9"
"2025-10-03 14:08:57","45933.5895486111","52.2","51.7","35.0"
"2025-10-03 14:09:02","45933.5896064815","52.2","51.8","35.0"
"2025-10-03 14:09:07","45933.5896643518","52.2","51.8","35.1"
"2025-10-03 14:09:12","45933.5897222222","52.3","51.9","35.2"
"2025-10-03 14:09:17","45933.5897800926","52.5","52.2","35.2"
"2025-10-03 14:09:22","45933.5898379630","52.7","52.4","35.2"
"2025-10-03 14:09:27","45933.5898958333","52.9","52.5","35.2"
"2025-10-03 14:09:32","45933.5899537037","52.8","52.6","35.0"
"2025-10-03 14:09:37","45933.5900115741","52.7","52.4","34.9"
"2025-10-03 14:09:42","45933.5900694444","52.7","52.4","34.9"
"2025-10-03 14:09:47","45933.5901273148","52.5","52.2","34.9"
"2025-10-03 14:09:52","45933.5901851852","52.4","52.1","34.7"
"2025-10-03 14:09:57","45933.5902430556","52.4","52.1","34.8"
"2025-10-03 14:10:02","45933.5903009259","52.5","52.3","34.8"
"2025-10-03 14:10:07","45933.5903587963","52.6","52.4","35.1"
"2025-10-03 14:10:12","45933.5904166667","52.6","52.5","35.0"
"2025-10-03 14:10:17","45933.5904745370","52.6","52.5","34.8"
"2025-10-03 14:10:22","45933.5905324074","52.6","52.5","34.8"
"2025-10-03 14:10:27","45933.5905902778","52.6","52.6","34.9"
"2025-10-03 14:10:32","45933.5906481482","52.6","52.6","35.0"
"2025-10-03 14:10:37","45933.5907060185","52.7","52.6","35.0"
"2025-10-03 14:10:42","45933.5907638889","52.7","52.6","34.9"
